_id,author,date,section,sub_title,text,title,url
,247 ,05/04/2019 17:51:00,brasil,"""Desculpem as caneladas, não nasci para ser presidente, nasci para ser militar, mas no momento estou nessa condição de presidente e, junto com vocês, nós podemos mudar o destino do Brasil. Sozinho não vou chegar a lugar nenhum"", disse Bolsonaro, que usou a idade para justificar seu cansaço.","  ""Não nasci para ser presidente, nasci para ser militar"", afirmou o presidente Jair Bolsonaro durante um evento com servidores do Palácio do Planalto nesta sexta-feira (5). Ele ainda reclamou das dificuldades de ocupar o cargo. ""Desculpem as caneladas, não nasci para ser presidente, nasci para ser militar, mas no momento estou nessa condição de presidente e, junto com vocês, nós podemos mudar o destino do Brasil. Sozinho não vou chegar a lugar nenhum"", disse Bolsonaro, que usou a idade para justificar seu cansaço. Essa não foi a única reclamação de Bolsonaro sobre o exercício da presidência. ""Eu me pergunto, olho pra Deus e pergunto: Meu Deus, o que eu fiz para merecer isso? É só problema"", disparou. A declaração foi dada durante uma cerimônia de inauguração do Espaço Integridade da Ouvidoria da Presidência da República. Ele disse que a sua eleição foi um ""milagre"" e lembrou do atentado que sofreu durante a campanha.  ""Confesso que nunca esperava chegar na situação que me encontro. Primeiro porque sobrevivi a um atentado, um milagre. Depois, o outro milagre foi a eleição. A gente tava contra tudo, né? Imprensa, fakenews, tempo de televisão, recuso de campanha, mas respeito quem não tenha religião, mas eu tinha do nosso lado Deus"", afirmou. Em seguida, citou mais uma vez uma passagem bíblica repetida a exaustão durante a campanha: ""E conhecereis a verdade, e a verdade vos libertará"".  ","
Bolsonaro admite seu despreparo: 'não nasci para ser presidente'
",https://www.brasil247.com/pt/247/brasil/389335/Bolsonaro-admite-seu-despreparo-'n%C3%A3o-nasci-para-ser-presidente'.htm
,Brasil de Fato ,05/04/2019 19:25:00,brasil,Wilson Damázio deixou a Secretaria de Defesa de Pernambuco em 2013 após declarações inapropriadas e agora o ministro Sérgio Moro o nomeou para o Conselho Nacional de Política Criminal e Penitenciária (CNPCP),"  O ministro Sérgio Moro nomeou, para o Conselho Nacional de Política Criminal e Penitenciária (CNPCP) do Ministério da Justiça, o delegado federal aposentado Wilson Salles Damázio, ex-secretário de Defesa Social de Pernambuco, de onde foi exonerado após relativizar denúncia de violência sexual contra adolescentes por parte de policiais militares. Em 2013, Wilson Damázio deixou a SDS, protagonizando o último ""episódio"" de uma série de reportagens da jornalista Fabiana Moraes. A repórter publicou no Jornal do Commercio um conteúdo jornalístico especial em memória dos 80 anos do livro Casa Grande e Senzala, de Gilberto Freyre. Fabiana comparou o comportamento dos senhores em relação às mulheres escravizadas, descrito na obra de Freyre, com o comportamento de policiais em relação a garotas - algumas menores de 18 anos - que se prostituíam na Avenida Norte, no Recife. Na série, Fabiana apresentou casos em que policiais abusavam das moças, obrigando-as a se exibir. De acordo com a matéria, um PM chegou a colocar a arma na cabeça de uma adolescente de 13 anos exigindo que a menina tivesse relações sexuais com ele. Esse e outros casos de violência envolviam agentes das Rondas Ostensivas com Apoio de Motocicleta (Rocam), do Grupo de Ações Táticas Itinerantes (Gati) e da Patrulha do Bairro. Ao longo da conversa o delegado aposentado disse que a polícia ""tem muitos problemas, com mulheres principalmente"" e apresentou seu ponto de vista. ""Elas às vezes até se acham porque estão com policial. O policial exerce um fascínio no dito sexo frágil. Eu não sei por que é que mulher gosta tanto de farda. Todo policial militar mais antigo tem duas famílias, tem uma amante, duas"", contou. Fez, ainda, questão de apresentar memórias. ""A gente ia pra Floresta [cidade do Sertão], para esses lugares, quando chegávamos lá, colocávamos o colete, as meninas ficavam tudo 'sassaricadas'. Para ela é o máximo tá dando pra um policial. Dentro da viatura, então, o fetiche vai lá em cima, é coisa de doido"", avaliou. Na mesma entrevista, Damázio classifica a homossexualidade como ""desvio de conduta"" e faz uma comparação desproporcional. Ao falar de policiais que violentaram sexualmente uma prostituta mantendo uma arma na cabeça, ele alega que ""desvio de conduta a gente tem em todo lugar: tem na casa da gente, tem um irmão que é homossexual, tem outro que é ladrão, entendeu?"", disse Damázio. Natural de Olinda, Wilson Damázio começou a carreira como policial civil, depois, foi agente, delegado e superintendente da Polícia Federal no estado. Passou ainda pelo Ministério da Justiça, na diretoria de Sistema Prisional Federal, até que assumiu a SDS de 2010 a 2013, durante o governo Eduardo Campos. Hoje ele vive na Bahia, onde tem prestado consultoria em desenvolvimento gerencial. Questionado pela revista Época sobre a nomeação, o Ministério da Justiça tentou se desvincular, alegando que as declarações de Damázio não refletem a posição do ministério e que a nomeação do delegado aposentado foi por motivos técnicos. O CNPCP é composto por 13 membros titulares e mais 13 suplentes, mas os 26 são convocados para as reuniões mensais em Brasília. Entre os titulares está o pernambucano Pedro Eurico Barros e Silva, secretário de Justiça e Direitos Humanos de Pernambuco. Outro pernambucano nomeado, mas como suplente, é o juiz Roberto Costa Bivar, da Vara de Execução Penal do Tribunal de Justiça de Pernambuco (TJPE). Na ocasião da nomeação ganhou destaque o nome de Ilona Szabó, cientista política especializada em redução da violência, política de drogas e estudos de conflitos e paz. A rede bolsonarista não gostou da nomeação de Szabó e, após pressão, Sérgio Moro revogou o nome da cientista política, deixando a cadeira vaga.","
Moro nomeia pernambucano que relativizou abuso sexual de PMs contra adolescentes
",https://www.brasil247.com/pt/247/brasil/389346/Moro-nomeia-pernambucano-que-relativizou-abuso-sexual-de-PMs-contra-adolescentes.htm
,Agência Brasil ,05/04/2019 20:47:00,brasil,"O presidente Jair Bolsonaro afirmou nesta sexta-feira (5) que decidiu não adotar o horário de verão este ano; segundo ele, a decisão foi baseada em um parecer do ministro de Minas e Energia, Bento Albuquerque, que aponta pouca efetividade na economia energética; ""Ele [ministro] trouxe um parecer 100% favorável ao fim do horário de verão. No parecer dele, [o horário de verão] não causa economia [de energia] para nós e mexe no teu relógio biológico, então atrapalha a economia, em parte. E só temos o que ganhar, no meu entender, mantendo o horário como está"", disse Bolsonaro","  O presidente Jair Bolsonaro afirmou hoje (5) que decidiu não adotar o horário de verão este ano. Segundo ele, a decisão foi baseada em um parecer do ministro de Minas e Energia, Bento Albuquerque, que aponta pouca efetividade na economia energética. ""Ele [ministro] trouxe um parecer 100% favorável ao fim do horário de verão. No parecer dele, [o horário de verão] não causa economia [de energia] para nós e mexe no teu relógio biológico, então atrapalha a economia, em parte. E só temos o que ganhar, no meu entender, mantendo o horário como está"", disse Bolsonaro, logo após participar da inauguração do espaço de atendimento da Ouvidoria da Presidência da República, no Palácio do Planalto. No ano passado, estudos da Secretaria de Energia Elétrica (SEE), do Ministério de Minas e Energia (MME), em parceria com o Operador Nacional do Sistema Elétrico (ONS), apontaram que em termos de economia de energia, a medida não tem sido mesmo eficiente, já que os resultados alcançados foram próximos à ""neutralidade"". O horário de verão foi criado em 1931 com o intuito de economizar energia, a partir do aproveitamento de luz solar no período mais quente do ano, e tem sido aplicado no país, sem interrupção, ao longo dos últimos últimos 35 anos. Normalmente, o horário de verão ocorre entre outubro e fevereiro, quando os relógios devem ser adiantados em uma hora, e vigora nos estados de São Paulo, Rio de Janeiro, Minas Gerais, Espírito Santo, Rio Grande do Sul, Santa Catarina, Paraná, Goiás, Mato Grosso, Mato Grosso do Sul e no Distrito Federal.","
Bolsonaro confirma que não haverá horário de verão em 2019
",https://www.brasil247.com/pt/247/brasil/389358/Bolsonaro-confirma-que-n%C3%A3o-haver%C3%A1-hor%C3%A1rio-de-ver%C3%A3o-em-2019.htm
,247 ,05/04/2019 15:30:00,brasil,"""Jair, na boa, você é atrapalhado"", disse o ex-ministro da Educação Fernando Haddad, lembrando uma postagem feita pelo presidente no dia 27 de março em que ele acusa a jornalista Eliane Cantanhêde, da GloboNews, de fake news, ao anunciar que o ministro da Educação seria demitido; nesta sexta, Bolsonaro informou que o ministro será demitido","  O ex-ministro da Educação, Fernando Haddad (PT), ironizou nesta sexta-feira (5) a declaração de Jair Bolsonaro, de que vai demitir o ministro da Educação Ricardo Vélez na próxima segunda-feira. ""Jair, na boa, você é atrapalhado... Não fica chateado"", disse Haddad, em resposta a uma postagem feita por Bolsonaro no Twiter na semana passada, em que ele acusou a jornalista Eliane Cantanhêde, da GloboNews, de fake news, ao anunciar que o ministro da Educação seria demitido nas próximas horas. ""Sofro fake news diárias como esse caso da ""demissão"" do Ministro Velez. A mídia cria narrativas de que NÃO GOVERNO, SOU ATRAPALHADO, etc. Você sabe quem quer nos desgastar para se criar uma ação definitiva contra meu mandato no futuro. Nosso compromisso é com você, com o Brasil"", disse Bolsonaro.   Jair, na boa, você é atrapalhado... Não fica chateado.  https://t.co/XlLhsTna1f","
'Jair, na boa, você é atrapalhado', ironiza Haddad sobre confirmação da demissão de Vélez
",https://www.brasil247.com/pt/247/brasil/389310/'Jair-na-boa-voc%C3%AA-%C3%A9-atrapalhado'-ironiza-Haddad-sobre-confirma%C3%A7%C3%A3o-da-demiss%C3%A3o-de-V%C3%A9lez.htm
,247,03/04/2019 07:28:00,midiatech,"""É comum governantes não gostarem dos dados negativos, o que os diferencia é que os de mente autoritária querem desmoralizar o órgão que apura a estatística indesejada"", diz a jornalista em sua coluna no jornal O Globo; ""Em vez de dizer como enfrentará esse desafio, ele prefere brigar com o termômetro e ofender a inteligência alheia"", diz","  - ""O presidente Jair Bolsonaro revela mais do que ignorância quando critica o IBGE"", diz a jornalista Miriam Leitão em sua coluna no  jornal O Globo . ""É comum governantes não gostarem dos dados negativos, o que os diferencia é que os de mente autoritária querem desmoralizar o órgão que apura a estatística indesejada. Bolsonaro poderia afirmar que não é culpado pelo enorme desemprego do Brasil e que herdou o problema, afinal está no cargo há pouco mais de um trimestre. Em vez de dizer como enfrentará esse desafio, ele prefere brigar com o termômetro e ofender a inteligência alheia"", diz. A jornalista cita a declaração de Bolsonaro: ""O que acontece? Como é feita hoje em dia a taxa? Leva-se em conta só quem está procurando emprego. Quem não procura não é tido como desempregado"", disse ele. Segundo a colunista, ""se o presidente tivesse lido um pouco sobre o assunto saberia que os dois dados já são divulgados"". O IBGE pergunta se a pessoa está procurando emprego. Se sim, ela entra na estatística dos desocupados, que deu 12,4%, ou 13,1 milhões de brasileiros, no trimestre encerrado em fevereiro. Se a pessoa gostaria de trabalhar, mas desistiu de procurar emprego, ela entra no índice dos desalentados, que registrou 4,9 milhões de pessoas"". ""O pior perigo agora é que o governo imponha ao IBGE um Censo resumido, como foi sugerido pelo ministro Paulo Guedes recentemente"", afirma ela, acrescentando que deste censo depende, por exemplo, a distribuição dos ""recursos do Fundo de Participação dos Municípios"". ""Se errar no Censo, o Brasil terá um prejuízo que vai durar dez anos"".      ","
Miriam: Bolsonaro revela mais do que ignorância ao criticar IBGE
",https://www.brasil247.com/pt/247/midiatech/389028/Miriam-Bolsonaro-revela-mais-do-que-ignor%C3%A2ncia-ao-criticar-IBGE.htm
,247 ,05/04/2019 20:46:00,sudeste,"O ex-governador do Rio Sérgio Cabral afirmou nesta sexta, 5, em depoimento ao juiz Marcelo Bretas, que repassou R$ 1,5 milhão em propina para o deputado Aécio Neves para sua campanha presidencial de 2014; ""Eu tenho uma relação muito afetiva com o senador Aécio Neves, que naquela época disputava a Presidência da República e passava por fase de muita dificuldade com Marina (Silva) em segundo lugar nas pesquisas. Ele estava muito deprimido, muito pra baixo"", disse Cabral; ele disse também que o prefeito do Rio, Marcelo Crivella (PRB), recebeu US$ 1,5 milhão para apoiar a candidatura de Eduardo Paes (DEM) na eleição municipal de 2008","  O ex-governador do Rio Sérgio Cabral Filho (MDB) afirmou nesta sexta, 5, em depoimento ao juiz Marcelo Bretas, que repassou R$ 1,5 milhão em propina para o deputado Aécio Neves para sua campanha presidencial de 2014.  ""Eu tenho uma relação muito afetiva com o senador Aécio Neves, que naquela época disputava a Presidência da República e passava por fase de muita dificuldade com Marina (Silva) em segundo lugar nas pesquisas. Ele estava muito deprimido, muito pra baixo"", disse Cabral, explicando por que resolveu ajuda-lo com o envio do dinheiro. ""O Aécio não participou da reunião (em que o pagamento foi acertado), mas ele me ligou depois para agradecer."" Cabral disse também que o prefeito do Rio, Marcelo Crivella (PRB), recebeu US$ 1,5 milhão para apoiar a candidatura de Eduardo Paes (DEM) na eleição municipal de 2008. ""O senhor me desculpe, mas eu comprei o apoio do Crivella"", contou Cabral a Bretas sobre seu diálogo com o então presidente, no Palácio do Planalto. Ele também afirmou que a Fetranspor, entidade que representa empresas de transporte urbano, pagou propina à Assembleia Legislativa do Rio desde 1987, no governo Moreira Franco (MDB).","
Cabral delata Aécio e aponta propina de R$ 1,5 milhão na campanha de 2014
",https://www.brasil247.com/pt/247/sudeste/389359/Cabral-delata-A%C3%A9cio-e-aponta-propina-de-R$-15-milh%C3%A3o-na-campanha-de-2014.htm
,Sputnik Brasil,04/04/2019 15:44:00,sudeste,"O presidente da Taurus Armas e vice-presidente Comercial e de Relações Institucionais da Companhia Brasileira de Cartuchos (CBC), Salesio Nuhs, rebateu críticas feitas à companhia por um dos filhos do presidente Jair Bolsonaro, Eduardo Bolsonaro, e desafiou rivais estrangeiros a entrarem no mercado brasileiro, em uma entrevista exclusiva à Sputnik Brasil","  -  O presidente da Taurus Armas e vice-presidente Comercial e de Relações Institucionais da Companhia Brasileira de Cartuchos (CBC), Salesio Nuhs, rebateu críticas feitas à companhia por um dos filhos do presidente Jair Bolsonaro e desafiou rivais estrangeiros a entrarem no mercado brasileiro, em uma entrevista exclusiva à ","
Taurus rebate Eduardo Bolsonaro e desafia estrangeiras a entrarem no Brasil
",https://www.brasil247.com/pt/247/sudeste/389210/Taurus-rebate-Eduardo-Bolsonaro-e-desafia-estrangeiras-a-entrarem-no-Brasil.htm
,247 ,04/04/2019 20:03:00,sudeste,"Quando foi ouvido pela polícia, Ronnie Lessa chegou a admitir que era o dono do carregamento, mas tentou se defender dizendo que parte seria vendida para colecionadores e que outra parte era de airsoft; ele responderá pelo crime de comércio ilegal de arma de fogo junto com o amigo que guardava os 117 fuzis em casa, Alexandre Mota de Souza","  Um dos acusados de assassinar a vereadora Marielle Franco (PSOL-RJ) enfrentará também a acusação de comércio ilegal de armas de fogo. O novo processo é resultado da apreensão de 117 fuzis na casa de um amigo do sargento reformado. As armas foram encontradas no dia em que ele e o ex-PM Élcio de Queiroz foram presos pelo assassinato da vereadora e de seu motorista, Anderson Gomes. O amigo de Ronnie que guardou o arsenal, Alexandre Mota de Souza, também foi denunciado pelo Ministério Público. Quando foi ouvido pela polícia, Lessa chegou a admitir que era o dono do carregamento, mas tentou se defender dizendo que parte seria vendida para colecionadores e que outra parte era de airsoft, mas uma demonstração feita pela polícia mostrou o poder de destruição dessas armas.","
Acusado de matar Marielle vira réu por comércio ilegal de armas de fogo
",https://www.brasil247.com/pt/247/sudeste/389244/Acusado-de-matar-Marielle-vira-r%C3%A9u-por-com%C3%A9rcio-ilegal-de-armas-de-fogo.htm
,247 ,05/04/2019 21:54:00,brasil,"""Não ficaremos calados diante da injustiça. Lula foi preso sem provas para alterar o resultado da eleição presidencial"", afirmou o presidente do PSOL, Juliano Medeiros, em mensagem nas redes sociais convocando a militância a participar dos atos em apoio ao Lula Livre, marcado para domingo (7)","  Em vídeo publicado nas redes sociais, o presidente nacional do PSOL, Juliano Medeiros, convoca a militância a participar dos atos em defesa da liberdade do ex-presidente Lula, marcado para este domingo (7), data que completa um ano da prisão arbitrária do presidente mais bem avaliado da história do país. ""Não ficaremos calados diante da injustiça. Lula foi preso sem provas para alterar o resultado da eleição presidencial. A vitória de Bolsonaro é produto direto dessa manobra. Por isso neste domingo estarei nas ruas com a militância do PSOL defendendo #LulaLivre"", afirmou.   Não ficaremos calados diante da injustiça. Lula foi preso sem provas para alterar o resultado da eleição presidencial. A vitória de Bolsonaro é produto direto dessa manobra. Por isso neste domingo estarei nas ruas com a militância do PSOL defendendo  #LulaLivre .  pic.twitter.com/FLhwITvO0w","
Juliano Medeiros: 'estarei nas ruas com a militância do PSOL pelo Lula livre'
",https://www.brasil247.com/pt/247/brasil/389362/Juliano-Medeiros-'estarei-nas-ruas-com-a-milit%C3%A2ncia-do-PSOL-pelo-Lula-livre'.htm
,Do ,28/03/2019 20:22:00,cultura,"Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno; ""Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo"""," DCM  -  Em entrevista à Folha, Nana Caymmi defendeu Jair Bolsonaro e atacou seus colegas de música Chico Buarque, Gilberto Gil e Caetano Veloso. Nana confessa ter votado em Bolsonaro no segundo turno. ""É injusto não dar a esse homem um crédito de confiança. Um homem que estava fodido, esfaqueado, correndo pra fazer um ministério, sem noção da mutreta toda... Só de tirar PMDB e PT já é uma garantia de que a vida vai melhorar. Agora vêm dizer que os militares vão tomar conta? Isso é conversa de comunista. Gil, Caetano, Chico Buarque. Tudo chupador de pau de Lula. Então, vão pro Paraná fazer companhia a ele. Eu não me importo."" Em outro momento da entrevista, diz que Gilberto Gil ""adora aparecer"". ""Gil é maluco, adora aparecer. Se pudesse, dormia no palco. E ele tá cansado. Chega, está cantando há séculos e aos gritos. Eu falei: 'Gil, não grita', 'Gil, não grita'. Mas conselho não se dá. Por que Caetano tem a voz que tem, a mesma desde que nasceu entre as pernas de dona Canô? Não há possibilidade de ele dar um grito. Só dá grito quando ele tá furioso com a Paula [Lavigne] ou se é pra falar de jornalista.""","
Nana Caymmi defende Bolsonaro e ataca Chico, Gil e Caetano
",https://www.brasil247.com/pt/247/cultura/388493/Nana-Caymmi-defende-Bolsonaro-e-ataca-Chico-Gil-e-Caetano.htm
